img.path,H.mode,H.std,S.mode,S.std,V.mode,V.std
../clean_imgs/playboy_imgs/Playboy - 1963-12 - cover.jpeg,99,0.0161405391991,254,0.0193437598646,254,0.0263617876917
../clean_imgs/playboy_imgs/Playboy - 1964-01 - cover.jpeg,179,0.00444646365941,255,0.00524315843359,255,0.00497952057049
../clean_imgs/playboy_imgs/Playboy - 1964-02 - cover.jpeg,27,0.00856386497617,36,0.00725003750995,255,0.00586874270812
../clean_imgs/playboy_imgs/Playboy - 1964-03 - cover.jpeg,12,0.0035890978761,255,0.00274914968759,255,0.00316579430364
../clean_imgs/playboy_imgs/Playboy - 1964-04 - cover.jpeg,30,0.00797452405095,16,0.00692820129916,17,0.00506039243191
../clean_imgs/playboy_imgs/Playboy - 1964-05 - cover.jpeg,40,0.0121001368389,26,0.0091859921813,33,0.00992134958506
../clean_imgs/playboy_imgs/Playboy - 1964-06 - cover.jpeg,160,0.00866359658539,111,0.00671759573743,84,0.00676327059045
../clean_imgs/playboy_imgs/Playboy - 1964-07 - cover.jpeg,179,0.00617094850168,204,0.00600414723158,217,0.00627772370353
../clean_imgs/playboy_imgs/Playboy - 1964-08 - cover.jpeg,96,0.00456713652238,255,0.00429990142584,255,0.00422615325078
../clean_imgs/playboy_imgs/Playboy - 1964-09 - cover.jpeg,39,0.00861673988402,26,0.00562659325078,19,0.00508120330051
../clean_imgs/playboy_imgs/Playboy - 1964-10 - cover.jpeg,30,0.00847028009593,26,0.00651936791837,34,0.00678817648441
../clean_imgs/playboy_imgs/Playboy - 1964-11 - cover.jpeg,78,0.00598558690399,127,0.00473783025518,160,0.00469780527055
../clean_imgs/playboy_imgs/Playboy - 1964-12 - cover.jpeg,30,0.00374743412249,255,0.00930306129158,255,0.00989514868706
../clean_imgs/playboy_imgs/Playboy - 1965-01 - cover.jpeg,50,0.00413553696126,255,0.00284400093369,255,0.00290431920439
../clean_imgs/playboy_imgs/Playboy - 1965-02 - cover.jpeg,36,0.00778884580359,16,0.00519175687805,30,0.0061546061188
../clean_imgs/playboy_imgs/Playboy - 1965-03 - cover.jpeg,158,0.00411453796551,255,0.0221153907478,255,0.0209252443165
../clean_imgs/playboy_imgs/Playboy - 1965-04 - cover.jpeg,79,0.00712640583515,255,0.00471652299166,255,0.00563522847369
../clean_imgs/playboy_imgs/Playboy - 1965-05 - cover.jpeg,40,0.00747861387208,26,0.00582824181765,255,0.00569362007082
../clean_imgs/playboy_imgs/Playboy - 1965-06 - cover.jpeg,16,0.00393514009193,255,0.00322986301035,255,0.00313878548332
../clean_imgs/playboy_imgs/Playboy - 1965-07 - cover.jpeg,95,0.00739492103457,61,0.00747501291335,55,0.0074492264539
../clean_imgs/playboy_imgs/Playboy - 1965-08 - cover.jpeg,115,0.00689212745056,111,0.00583910057321,216,0.012359241955
../clean_imgs/playboy_imgs/Playboy - 1965-09 - cover.jpeg,30,0.0129879014567,8,0.00939293485135,26,0.00807194504887
../clean_imgs/playboy_imgs/Playboy - 1965-10 - cover.jpeg,174,0.00810520444065,194,0.00621969858184,201,0.00668471446261
../clean_imgs/playboy_imgs/Playboy - 1965-11 - cover.jpeg,47,0.00466328999028,255,0.00409875623882,255,0.0041832132265
../clean_imgs/playboy_imgs/Playboy - 1965-12 - cover.jpeg,77,0.022006560117,116,0.0169998146594,139,0.0164349284023
../clean_imgs/playboy_imgs/Playboy - 1966-01 - cover.jpeg,44,0.00672677857801,255,0.0329818800092,254,0.0307712852955
../clean_imgs/playboy_imgs/Playboy - 1966-02 - cover.jpeg,39,0.00674102688208,255,0.00492553412914,255,0.00479647191241
../clean_imgs/playboy_imgs/Playboy - 1966-03 - cover.jpeg,179,0.00632894271985,181,0.00502694165334,163,0.00470240879804
../clean_imgs/playboy_imgs/Playboy - 1966-04 - cover.jpeg,50,0.0202017184347,61,0.0133168436587,165,0.0109869791195
../clean_imgs/playboy_imgs/Playboy - 1966-05 - cover.jpeg,7,0.0143026458099,1,0.0133832329884,2,0.0135489348322
../clean_imgs/playboy_imgs/Playboy - 1966-06 - cover.jpeg,22,0.0083340248093,255,0.028397211805,254,0.0262980423868
../clean_imgs/playboy_imgs/Playboy - 1966-07 - cover.jpeg,63,0.00539666367695,217,0.00707370508462,222,0.007125611417
../clean_imgs/playboy_imgs/Playboy - 1966-08 - cover.jpeg,67,0.00511651206762,56,0.00330414692871,156,0.00389772187918
../clean_imgs/playboy_imgs/Playboy - 1966-09 - cover.jpeg,179,0.00265654595569,183,0.00541006447747,169,0.00517644127831
../clean_imgs/playboy_imgs/Playboy - 1966-10 - cover.jpeg,29,0.0115590402856,88,0.00763309653848,214,0.00810568593442
../clean_imgs/playboy_imgs/Playboy - 1966-11 - cover.jpeg,128,0.00902810692787,73,0.00744261266664,57,0.00610170420259
../clean_imgs/playboy_imgs/Playboy - 1966-12 - cover.jpeg,4,0.0121583240107,1,0.0141229834408,137,0.00731620332226
../clean_imgs/playboy_imgs/Playboy - 1967-01 - cover.jpeg,88,0.0058760358952,255,0.00464001251385,169,0.00488750310615
../clean_imgs/playboy_imgs/Playboy - 1967-02 - cover.jpeg,178,0.00771194696426,255,0.00570719270036,255,0.00573695730418
../clean_imgs/playboy_imgs/Playboy - 1967-03 - cover.jpeg,16,0.00685036089271,8,0.00439713150263,255,0.00315937283449
../clean_imgs/playboy_imgs/Playboy - 1967-04 - cover.jpeg,179,0.00387955852784,255,0.00403293920681,255,0.0042985114269
../clean_imgs/playboy_imgs/Playboy - 1967-05 - cover.jpeg,76,0.0101304352283,255,0.00595667120069,255,0.00630958238617
../clean_imgs/playboy_imgs/Playboy - 1967-06 - cover.jpeg,130,0.00441602896899,255,0.00509659806266,255,0.00513613084331
../clean_imgs/playboy_imgs/Playboy - 1967-07 - cover.jpeg,102,0.00746483029798,255,0.00606802105904,255,0.00741751352325
../clean_imgs/playboy_imgs/Playboy - 1967-08 - cover.jpeg,48,0.00481097307056,255,0.00404931046069,255,0.00398643035442
../clean_imgs/playboy_imgs/Playboy - 1967-09 - cover.jpeg,96,0.00903619173914,76,0.00785161554813,58,0.0081076938659
../clean_imgs/playboy_imgs/Playboy - 1967-10 - cover.jpeg,38,0.00737656513229,16,0.00647922744974,10,0.00695274118334
../clean_imgs/playboy_imgs/Playboy - 1967-11 - cover.jpeg,40,0.0124285398051,37,0.00981366634369,45,0.00882922112942
../clean_imgs/playboy_imgs/Playboy - 1967-12 - cover.jpeg,78,0.00646497914568,116,0.00593762006611,74,0.00573389278725
../clean_imgs/playboy_imgs/Playboy - 1968-01 - cover.jpeg,105,0.00730840070173,45,0.00619250629097,93,0.00580393383279
../clean_imgs/playboy_imgs/Playboy - 1968-02 - cover.jpeg,31,0.0053135631606,255,0.00532349571586,255,0.0056980359368
../clean_imgs/playboy_imgs/Playboy - 1968-03 - cover.jpeg,26,0.010199368,11,0.00900576543063,19,0.0076462761499
../clean_imgs/playboy_imgs/Playboy - 1968-04 - cover.jpeg,56,0.00884253997356,255,0.00424049887806,255,0.00377160520293
../clean_imgs/playboy_imgs/Playboy - 1968-05 - cover.jpeg,58,0.00508990045637,41,0.00561729120091,255,0.00349820428528
../clean_imgs/playboy_imgs/Playboy - 1968-06 - cover.jpeg,147,0.00591230252758,207,0.00621788948774,231,0.00861858669668
../clean_imgs/playboy_imgs/Playboy - 1968-07 - cover.jpeg,31,0.0047978325747,255,0.0035860252101,255,0.00296570220962
../clean_imgs/playboy_imgs/Playboy - 1968-08 - cover.jpeg,27,0.00535419117659,223,0.00479611381888,229,0.00494620157406
../clean_imgs/playboy_imgs/Playboy - 1968-09 - cover.jpeg,129,0.00562161579728,70,0.00478806113824,62,0.0033120685257
../clean_imgs/playboy_imgs/Playboy - 1968-10 - cover.jpeg,70,0.0141481887549,49,0.0105771785602,49,0.00934384390712
../clean_imgs/playboy_imgs/Playboy - 1968-11 - cover.jpeg,164,0.0107358694077,183,0.00760542787611,203,0.00774941407144
../clean_imgs/playboy_imgs/Playboy - 1968-12 - cover.jpeg,32,0.0164409615099,26,0.0115111172199,40,0.00760906282812
../clean_imgs/playboy_imgs/Playboy - 1969-01 - cover.jpeg,113,0.0129687711596,224,0.0169355664402,231,0.0166284106672
../clean_imgs/playboy_imgs/Playboy - 1969-02 - cover.jpeg,39,0.00638884445652,203,0.00581579841673,211,0.00602996721864
../clean_imgs/playboy_imgs/Playboy - 1969-03 - cover.jpeg,177,0.00813093036413,167,0.0070041725412,144,0.00660333642736
../clean_imgs/playboy_imgs/Playboy - 1969-04 - cover.jpeg,72,0.00794612802565,111,0.00610631750897,136,0.00526643637568
../clean_imgs/playboy_imgs/Playboy - 1969-05 - cover.jpeg,42,0.00518357148394,255,0.00297865807079,255,0.00286942953244
../clean_imgs/playboy_imgs/Playboy - 1969-06 - cover.jpeg,31,0.00326453964226,255,0.00261357636191,255,0.00317326141521
../clean_imgs/playboy_imgs/Playboy - 1969-07 - cover.jpeg,54,0.00563056580722,255,0.00367185217328,215,0.00556286703795
../clean_imgs/playboy_imgs/Playboy - 1969-08 - cover.jpeg,47,0.00606638612226,65,0.00388961727731,103,0.00340273161419
../clean_imgs/playboy_imgs/Playboy - 1969-09 - cover.jpeg,27,0.00708739133552,36,0.00720987003297,184,0.00781798362732
../clean_imgs/playboy_imgs/Playboy - 1969-10 - cover.jpeg,100,0.00822647474706,255,0.00345232035033,255,0.00505186524242
../clean_imgs/playboy_imgs/Playboy - 1969-11 - cover.jpeg,168,0.00515174726024,223,0.0081676505506,224,0.00755479652435
../clean_imgs/playboy_imgs/Playboy - 1969-12 - cover.jpeg,68,0.0054174317047,255,0.0037963243667,225,0.00419229688123
../clean_imgs/playboy_imgs/Playboy - 1970-01 - cover.jpeg,37,0.00542713189498,49,0.00464172102511,255,0.00331691140309
../clean_imgs/playboy_imgs/Playboy - 1970-02 - cover.jpeg,88,0.00538181420416,224,0.00523308617994,233,0.0063850726001
../clean_imgs/playboy_imgs/Playboy - 1970-03 - cover.jpeg,10,0.00679981103167,255,0.00496448669583,255,0.00392063008621
../clean_imgs/playboy_imgs/Playboy - 1970-04 - cover.jpeg,77,0.00982547178864,255,0.00626670895144,255,0.00727589149028
../clean_imgs/playboy_imgs/Playboy - 1970-05 - cover.jpeg,136,0.00707795936614,189,0.00526209641248,216,0.00570259196684
../clean_imgs/playboy_imgs/Playboy - 1970-06 - cover.jpeg,87,0.00757449306548,41,0.00538542075083,255,0.00327988597564
../clean_imgs/playboy_imgs/Playboy - 1970-07 - cover.jpeg,143,0.00865384563804,255,0.00660810200498,255,0.00656676106155
../clean_imgs/playboy_imgs/Playboy - 1970-08 - cover.jpeg,128,0.00569380167872,255,0.00522287376225,199,0.00594854867086
../clean_imgs/playboy_imgs/Playboy - 1970-09 - cover.jpeg,31,0.00395719520748,255,0.00311845075339,255,0.00284715788439
../clean_imgs/playboy_imgs/Playboy - 1970-10 - cover.jpeg,128,0.00462939636782,255,0.00446295924485,255,0.00401200633496
../clean_imgs/playboy_imgs/Playboy - 1970-11 - cover.jpeg,32,0.0069221034646,255,0.00437595043331,255,0.00365067832172
../clean_imgs/playboy_imgs/Playboy - 1970-12 - cover.jpeg,66,0.00825941842049,49,0.00591918779537,158,0.00641711615026
../clean_imgs/playboy_imgs/Playboy - 1972-01 - cover.jpeg,15,0.00723712751642,255,0.00594529788941,255,0.00498362863436
../clean_imgs/playboy_imgs/Playboy - 1972-02 - cover.jpeg,67,0.00615899916738,255,0.00529648829252,255,0.00504799047485
../clean_imgs/playboy_imgs/Playboy - 1972-03 - cover.jpeg,30,0.00999203696847,2,0.0135494833812,33,0.00744396075606
../clean_imgs/playboy_imgs/Playboy - 1972-04 - cover.jpeg,69,0.00532713532448,255,0.00367782474495,255,0.00345703447238
../clean_imgs/playboy_imgs/Playboy - 1972-05 - cover.jpeg,40,0.00554240541533,255,0.00404505478218,255,0.00352506316267
../clean_imgs/playboy_imgs/Playboy - 1972-06 - cover.jpeg,72,0.00520042190328,255,0.00596076762304,223,0.00706211244687
